"id","shiname","shiNo","shiorder","Shengid"
1,"合肥市","1",1,1
2,"芜湖市","2",2,1
4,"北京市","1",1,2
6,"安庆市","3",3,1
7,"巢湖市","4",4,1
8,"滁州市","5",5,1
9,"淮南市","6",6,1
10,"马鞍山市","7",7,1
11,"宿州市","8",8,1
12,"宣州市","9",9,1
13,"蚌埠市","10",10,1
14,"池州地区","11",11,1
15,"阜阳市","12",12,1
16,"淮北市","13",13,1
17,"黄山市","14",14,1
18,"六安市","15",15,1
19,"铜陵市","16",16,1
20,"亳州市","17",17,1
21,"济南市","1",2,3
22,"东营市","2",3,3
23,"滨州地区","3",4,3
24,"淄博市","4",5,3
25,"德州市","5",6,3
26,"济宁市","6",7,3
27,"聊城地区","7",8,3
28,"日照市","8",1,3
29,"莱芜市","9",9,3
30,"青岛市","10",10,3
31,"临沂市","11",11,3
32,"威海市","12",12,3
33,"泰安市","13",13,3
34,"潍坊市","14",14,3
35,"烟台市","15",15,3
36,"菏泽地区","16",16,3
37,"枣庄市","17",17,3
38,"南京市","1",1,4
39,"淮阴市","2",2,4
40,"常州市","3",3,4
41,"连云港市","4",4,4
42,"南通市","5",5,4
43,"徐州市","6",6,4
44,"苏州市","7",7,4
45,"无锡市","8",8,4
46,"盐城市","9",9,4
47,"扬州市","10",10,4
48,"镇江市","11",11,4
49,"泰州市","12",12,4
50,"宿迁市","13",13,4
51,"上海市","1",1,5
52,"广州市","1",1,6
53,"佛山市","2",2,6
54,"惠州市","3",3,6
55,"东莞市","4",4,6
56,"江门市","5",5,6
57,"揭阳市","5",5,6
58,"潮州市","6",6,6
59,"茂名市","7",7,6
60,"梅州市","8",8,6
61,"清远市","9",9,6
62,"汕头市","10",10,6
63,"汕尾市","11",11,6
64,"深圳市","12",12,6
65,"韶关市","13",13,6
66,"阳江市","14",14,6
67,"河源市","15",15,6
68,"云浮市","16",16,6
69,"中山市","17",17,6
70,"珠海市","18",18,6
71,"湛江市","19",19,6
72,"湛江市","20",20,6
73,"江门市","21",21,6
74,"杭州市","1",1,7
75,"嘉兴市","2",2,7
76,"金华市","3",3,7
77,"衢州市","4",4,7
78,"丽水地区","5",5,7
79,"宁波市","6",6,7
80,"绍兴市","7",7,7
81,"台州市","8",8,7
82,"温州市","9",9,7
83,"舟山市","10",10,7
84,"湖州市","11",11,7
85,"福州市","1",1,8
86,"龙岩地区","2",2,8
87,"南平市","3",3,8
88,"宁德地区","4",4,8
89,"莆田市","5",5,8
90,"泉州市","6",6,8
91,"三明市","7",7,8
92,"厦门市","8",8,8
93,"漳州市","9",9,8
94,"重庆市","1",1,9
95,"涪陵市","2",2,9
96,"黔江地区","3",3,9
97,"万县市","4",4,9
98,"兰州市","1",1,10
99,"甘南藏族自治州","2",2,10
100,"定西地区","3",3,10
101,"白银市","4",4,9
102,"嘉峪关市","4",4,10
103,"金昌市","5",5,10
104,"酒泉地区","6",6,10
105,"临夏回族自治州","7",7,10
106,"陇南地区","8",8,10
107,"平凉地区","9",9,10
108,"庆阳地区","10",10,10
109,"天水市","11",11,10
110,"武威地区","12",12,10
111,"张掖地区","13",13,10
112,"南宁市","1",1,11
113,"防城港市","2",2,11
114,"北海市","3",3,11
115,"百色地区","4",4,11
116,"桂林地区","5",5,11
117,"桂林市","6",6,11
118,"柳州地区","7",7,11
119,"柳州市","8",8,11
120,"南宁地区","9",9,11
121,"钦州市","10",10,11
122,"梧州地区","11",11,11
123,"梧州市","12",12,11
124,"河池地区","13",13,11
125,"玉林地区","14",14,11
126,"贵港市","15",15,11
127,"贵阳市","1",1,12
128,"毕节地区","2",2,12
129,"遵义地区","3",3,12
130,"安顺地区","4",4,12
131,"六盘水市","5",5,12
132,"黔东南苗族侗族自治州","6",6,12
133,"黔南布依族苗族自治州","7",7,12
134,"黔西南布依族苗族自治州","8",8,12
135,"铜仁地区","9",9,12
136,"三亚市","1",1,13
137,"海口市","2",2,13
138,"石家庄市","1",1,14
139,"邯郸市","2",2,14
140,"邢台市","3",3,14
141,"保定市","4",4,14
142,"张家口市","5",5,14
143,"沧州市","6",6,14
144,"承德市","7",7,14
145,"廊坊市","8",8,14
146,"秦皇岛市","9",9,14
147,"唐山市","10",10,14
148,"衡水地区","11",11,14
149,"郑州市","1",1,15
150,"开封市","2",2,15
151,"驻马店地区","3",3,15
152,"安阳市","4",4,15
153,"焦作市","5",5,15
154,"洛阳市","6",6,15
155,"濮阳市","7",7,15
156,"漯河市","8",8,15
157,"南阳市","9",9,15
158,"平顶山市","10",10,15
159,"新乡市","11",11,15
160,"信阳地区","12",12,15
161,"许昌市","13",13,15
162,"商丘地区","14",14,15
163,"三门峡市","15",15,15
164,"鹤壁市","16",16,15
165,"周口地区","17",17,15
166,"哈尔滨市","1",1,16
167,"大庆市","2",2,16
168,"大兴安岭地区","3",3,16
